Tarriff and quota measures,Date started (yyyymmdd)
China 3b ,20180402
China 50b wave 1,20180706
China 50b wave 2,20180808
EU tariff 1,20180622
EU tariff 2,20180622
Mexico tariff,20180705
US_CN 50b wave 1,20180706
US_CN 50b wave 2,20180808
Canada tariff,20180701
chn60b_tariff_increase1,20180918
chn60b_tariff_increase2,20190513
US200b_tariff_increase,20180918
US300b_tariff_increase1,20190901
US300b_tariff_increase2,pending
chn75b_tariff_increases1,20190901
chn75b_tariff_increases2,pending
US steel aluminum ,"20180323 (non_exempted countries), 20180601 (EU, Mexico, Canada)"
India tariff,20180621
Turkey tariff,20180621
US_argentina_quota,20180701
US_brazil_quota,20180701
US_korea_quota,20180701
